,City,Country,Date,Lat,Lng,Cloudiness,Humidity,Max Temp,Wind Speed
0,tambul,,,,,,,,
1,abashiri,JP,2021-03-13 23:02:16,44.0213,144.2697,75.0,65.0,38.26,5.14
2,sentyabrskiy,,,,,,,,
3,punta arenas,CL,2021-03-13 23:02:04,-53.15,-70.9167,0.0,61.0,44.87,2.06
4,chervone,UA,2021-03-13 23:02:16,49.9564,28.8645,99.0,96.0,34.41,6.27
5,atuona,PF,2021-03-13 23:02:16,-9.8,-139.0333,30.0,63.0,79.86,2.8
6,chuy,UY,2021-03-13 23:02:17,-33.6971,-53.4616,0.0,80.0,60.8,2.19
7,rikitea,PF,2021-03-13 23:02:17,-23.1203,-134.9692,29.0,74.0,80.56,4.03
8,grand river south east,,,,,,,,
9,caravelas,BR,2021-03-13 22:57:35,-17.7125,-39.2481,7.0,90.0,74.12,1.5
10,ponta do sol,PT,2021-03-13 23:02:17,32.6667,-17.1,100.0,71.0,57.27,1.34
11,mkushi,ZM,2021-03-13 23:02:18,-13.6202,29.3939,100.0,97.0,63.86,3.75
12,yashkul,RU,2021-03-13 23:02:18,46.1711,45.3435,100.0,62.0,28.36,5.34
13,taoudenni,ML,2021-03-13 23:02:18,22.6783,-3.9836,73.0,46.0,66.27,4.23
14,broome,US,2021-03-13 23:02:18,42.2506,-75.833,75.0,32.0,34.07,4.12
15,yulara,AU,2021-03-13 23:01:19,-25.2406,130.9889,90.0,46.0,70.07,6.69
16,hobart,AU,2021-03-13 23:02:19,-42.8794,147.3294,0.0,29.0,64.27,4.63
17,ternate,ID,2021-03-13 23:02:19,0.8,127.4,58.0,71.0,83.95,2.16
18,kapaa,US,2021-03-13 23:02:19,22.0752,-159.319,90.0,88.0,73.27,10.29
19,ushuaia,AR,2021-03-13 23:02:19,-54.8,-68.3,40.0,65.0,43.07,8.23
20,port alfred,ZA,2021-03-13 23:02:20,-33.5906,26.891,52.0,85.0,69.28,0.89
21,mareeba,AU,2021-03-13 23:02:20,-17.0,145.4333,91.0,58.0,91.27,4.63
22,miles city,US,2021-03-13 23:02:20,46.4083,-105.8406,1.0,49.0,43.07,2.57
23,port elizabeth,ZA,2021-03-13 23:02:20,-33.918,25.5701,0.0,83.0,68.27,2.06
24,nikolskoye,RU,2021-03-13 23:02:21,59.7035,30.7861,75.0,87.0,35.87,4.0
25,yellowknife,CA,2021-03-13 23:00:09,62.456,-114.3525,90.0,78.0,1.67,4.63
26,bolungarvik,,,,,,,,
27,bethel,US,2021-03-13 23:02:21,41.3712,-73.414,1.0,32.0,38.26,2.57
28,kupang,ID,2021-03-13 23:02:21,-10.1667,123.5833,100.0,76.0,84.15,1.74
29,ahipara,NZ,2021-03-13 22:57:53,-35.1667,173.1667,2.0,60.0,69.71,1.21
30,albany,US,2021-03-13 22:58:42,42.6001,-73.9662,1.0,49.0,33.28,2.3
31,bengkulu,ID,2021-03-13 23:02:22,-3.8004,102.2655,81.0,64.0,84.74,2.97
32,salalah,OM,2021-03-13 23:02:22,17.0151,54.0924,0.0,56.0,68.27,2.06
33,saskylakh,RU,2021-03-13 23:02:22,71.9167,114.0833,100.0,94.0,-11.7,5.39
34,harper,LR,2021-03-13 23:02:23,4.375,-7.7169,100.0,88.0,78.28,5.05
35,cape town,ZA,2021-03-13 23:01:31,-33.9258,18.4232,75.0,77.0,66.47,4.12
36,adrar,MR,2021-03-13 23:02:23,20.5022,-10.0711,0.0,25.0,64.71,3.63
37,dekar,BW,2021-03-13 23:02:23,-21.5333,21.9333,0.0,63.0,67.35,4.06
38,nizhneyansk,,,,,,,,
39,honningsvag,NO,2021-03-13 23:02:23,70.9821,25.9704,94.0,75.0,27.75,4.39
